,seed_term,related_terms,source,decade
165,kernfusie,panacee,parool,1960
166,kernfusie,rationaliseren,parool,1960
167,kernfusie,bezitsverhoudingen,parool,1960
168,kernfusie,beeldvorming,parool,1960
169,kernfusie,omkering,parool,1960
170,kernfusie,marktrisico,parool,1960
171,kernfusie,uitzonderingsmaatregelen,parool,1960
172,kernfusie,verminderingen,parool,1960
173,kernfusie,aankweken,parool,1960
174,Kernenergetisch,,parool,1960
175,Kernenergie,,parool,1960
176,Kernenergiecentrale,,parool,1960
177,Kernbrandstof,,parool,1960
178,Kern-energie-produktie,,parool,1960
179,Windkracht,,parool,1960
180,Windenergie,,parool,1960
181,Windenergiebranche,,parool,1960
182,windturbine,,parool,1960
183,windstroom,,parool,1960
184,Zonne-energie,,parool,1960
185,Zonnewarmte,,parool,1960
186,zonnestraling,infrarood,parool,1960
187,zonnestraling,ionosfeer,parool,1960
188,zonnestraling,afgeraffeld,parool,1960
189,zonnestraling,telescopen,parool,1960
190,zonnestraling,marktrisico,parool,1960
191,zonnestraling,methaan,parool,1960
192,zonnestraling,koolwaterstoffen,parool,1960
193,zonnestraling,koppelingen,parool,1960
194,zonnestraling,toegevoerd,parool,1960
195,zonnestraling,onwillekeurige,parool,1960
196,geothermische energie (aardwarmte),,parool,1960
197,waterkracht,polyesters,parool,1960
198,waterkracht,luisterapparaten,parool,1960
199,waterkracht,reismogelijkheden,parool,1960
200,waterkracht,opgepompt,parool,1960
201,waterkracht,smeermiddelen,parool,1960
202,waterkracht,verschepen,parool,1960
203,waterkracht,opgezogen,parool,1960
204,waterkracht,caprolactam,parool,1960
205,waterkracht,spoetniks,parool,1960
206,waterkracht,reservoirs,parool,1960
207,Waterkrachtcentrale,,parool,1960
208,Waterkrachtwerken,,parool,1960
209,Waterstof,,parool,1960
210,Waterstofenergie,,parool,1960
211,hydroturbine,,parool,1960
212,Getijden-energie,,parool,1960
213,Ethanol-produktie,,parool,1960
214,Ethanol,,parool,1960
215,Esso,,parool,1960
216,Shell,,parool,1960
217,UNIPEDE,,parool,1960
218,Internationale Unie elektriciteitsproducenten,,parool,1960
219,De Stichting Natuur en Milieu,,parool,1960
220,IEA,,parool,1960
221,Internationale Energie Agentschap,,parool,1960
222,IAEA,,parool,1960
223,Internationale Atoomenergie Agentschap,,parool,1960
224,milieuproblemen,,parool,1960
225,Milieunormen,,parool,1960
226,Milieubeweging,,parool,1960
227,Milieu-aspecten,,parool,1960
228,milieueffecten,,parool,1960
229,Milieumaatregelen,,parool,1960
230,Milieuvriendelijk,,parool,1960
231,Milieubeleid,,parool,1960
232,milieuoogpunt,,parool,1960
233,koolzuur,stikstof,parool,1960
234,koolzuur,waterdamp,parool,1960
235,koolzuur,chloor,parool,1960
236,koolzuur,verwarmt,parool,1960
237,koolzuur,magnesium,parool,1960
238,koolzuur,koolstof,parool,1960
239,koolzuur,doorlatend,parool,1960
240,koolzuur,vloeibare,parool,1960
241,koolzuur,ammoniak,parool,1960
242,koolzuur,propaan,parool,1960
243,koolzuurgas,,parool,1960
244,stikstofdioxide,,parool,1960
245,zwaveldioxide,,parool,1960
246,isolatie,slijtage,parool,1960
247,isolatie,regenwater,parool,1960
248,isolatie,samengeperst,parool,1960
249,isolatie,ventilatie,parool,1960
250,isolatie,waterpomp,parool,1960
251,isolatie,onmetelijke,parool,1960
252,isolatie,vloerbedekkingen,parool,1960
253,isolatie,hulpbronnen,parool,1960
254,isolatie,hanteerbaar,parool,1960
255,isolatie,vervuiling,parool,1960
256,Rookgassen,,parool,1960
257,verzuring,,parool,1960
258,Zuinig,,parool,1960
259,vervuilde,verontreinigen,parool,1960
260,vervuilde,rioolwater,parool,1960
261,vervuilde,muskieten,parool,1960
262,vervuilde,boomgaarden,parool,1960
263,vervuilde,onverwarmde,parool,1960
264,vervuilde,drinkbaar,parool,1960
265,vervuilde,wijdheid,parool,1960
266,vervuilde,propaan,parool,1960
267,vervuilde,onbebouwde,parool,1960
268,vervuilde,rioleringen,parool,1960
269,niet-vervuilde,,parool,1960
270,luchtvervuiling,vervuiling,parool,1960
271,luchtvervuiling,luchtverontreiniging,parool,1960
272,luchtvervuiling,afvalstoffen,parool,1960
273,luchtvervuiling,radioactiviteit,parool,1960
274,luchtvervuiling,verontreiniging,parool,1960
275,luchtvervuiling,smering,parool,1960
276,luchtvervuiling,verzilting,parool,1960
277,luchtvervuiling,afvalwater,parool,1960
278,luchtvervuiling,bouwsector,parool,1960
279,luchtvervuiling,koolwaterstoffen,parool,1960
280,luchtverontreiniging,verontreiniging,parool,1960
281,luchtverontreiniging,luchtvervuiling,parool,1960
282,luchtverontreiniging,drinkwater,parool,1960
283,luchtverontreiniging,vervuiling,parool,1960
284,luchtverontreiniging,radioactiviteit,parool,1960
285,luchtverontreiniging,afvalwater,parool,1960
286,luchtverontreiniging,afvalstoffen,parool,1960
287,luchtverontreiniging,waterverontreiniging,parool,1960
288,luchtverontreiniging,geluidshinder,parool,1960
289,luchtverontreiniging,verzilting,parool,1960
290,energieverbruik,energiebehoefte,parool,1960
291,energieverbruik,belastingopbrengst,parool,1960
292,energieverbruik,loonpeil,parool,1960
293,energieverbruik,arbeidskosten,parool,1960
294,energieverbruik,exportpositie,parool,1960
295,energieverbruik,kostprijzen,parool,1960
296,energieverbruik,verkoopprijzen,parool,1960
297,energieverbruik,dienstensector,parool,1960
298,energieverbruik,verbruik,parool,1960
299,energieverbruik,afneming,parool,1960
300,electriciteitsverbruik,,parool,1960
301,energieverspilling,,parool,1960
302,isolatie,slijtage,parool,1960
303,isolatie,regenwater,parool,1960
304,isolatie,samengeperst,parool,1960
305,isolatie,ventilatie,parool,1960
306,isolatie,waterpomp,parool,1960
307,isolatie,onmetelijke,parool,1960
308,isolatie,vloerbedekkingen,parool,1960
309,isolatie,hulpbronnen,parool,1960
310,isolatie,hanteerbaar,parool,1960
311,isolatie,vervuiling,parool,1960
312,energieverslindend,,parool,1960
313,heffing,heffingen,parool,1960
314,heffing,omzetbelasting,parool,1960
315,heffing,invoerrecht,parool,1960
316,heffing,weggeld,parool,1960
317,heffing,loonbelasting,parool,1960
318,heffing,belastingheffing,parool,1960
319,heffing,toeslagen,parool,1960
320,heffing,belasting,parool,1960
321,heffing,collegegeld,parool,1960
322,heffing,huurcompensatie,parool,1960
323,Broeikaseffect,,parool,1960
324,broeikas-effect,,parool,1960
325,broeikasgassen,,parool,1960
326,Energiebesparingsmogelijkheden,,parool,1960
327,CO2-uitstoot,,parool,1960
328,wereldklimaat,,parool,1960
329,duurzaam,vergaand,parool,1980
330,duurzaam,grondslagen,parool,1980
331,duurzaam,fundamenteel,parool,1980
332,duurzaam,nastreven,parool,1980
333,duurzaam,pragmatisch,parool,1980
334,duurzaam,waarborgt,parool,1980
335,duurzaam,legaliteit,parool,1980
336,duurzaam,streven,parool,1980
